state,county,tract,blockgroup,city,GEOID10,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
44,007,013800,5,CRANSTON,440070138005,1505,821,100,89,114,20,0,0,0,112,18,29,68,19,38,54,0,48,0,0,24,44,11,33,0,684,0,10,19,40,0,0,0,80,76,91,89,24,16,68,19,0,15,23,46,45,12,11,0
44,007,017700,1,WOONSOCKET,440070177001,888,361,26,0,0,0,0,0,0,0,30,33,47,0,0,35,69,20,31,0,41,25,4,0,0,527,0,27,0,0,13,16,0,16,70,38,39,13,14,18,125,0,36,13,46,5,8,23,7
44,007,000300,4,PROVIDENCE,440070003004,2159,1173,201,53,106,43,85,0,0,28,120,0,168,40,0,35,88,0,0,0,71,0,135,0,0,986,25,0,65,74,0,0,0,60,88,0,166,51,107,29,183,0,0,0,0,56,44,0,38
44,007,002300,5,PROVIDENCE,440070023005,486,275,0,31,31,0,0,0,0,0,10,20,16,16,0,67,49,0,0,0,0,35,0,0,0,211,16,43,0,0,0,0,0,0,26,22,42,0,0,0,24,0,0,6,0,32,0,0,0
44,007,017400,2,WOONSOCKET,440070174002,1026,519,36,18,28,20,29,9,0,38,32,10,31,30,48,37,38,11,24,7,58,0,15,0,0,507,9,13,39,31,15,0,19,63,12,48,57,67,47,8,28,0,24,21,0,0,6,0,0
44,007,014800,3,CRANSTON,440070148003,1483,673,0,0,39,24,0,0,26,53,95,21,0,62,44,74,89,13,19,13,24,6,0,45,26,810,0,61,21,0,0,0,0,90,21,21,0,39,104,97,76,0,22,26,22,36,72,22,80
44,001,030100,1,BARRINGTON,440010301001,1327,725,23,76,89,31,12,9,0,12,14,18,6,71,66,69,72,8,16,35,42,0,44,12,0,602,16,10,54,36,0,16,0,7,15,36,19,61,61,36,30,32,56,42,23,0,40,0,12
44,005,040600,1,NEWPORT,440050406001,1385,639,15,16,9,48,0,0,0,0,14,44,35,80,29,93,12,0,42,0,47,95,42,0,18,746,51,0,0,0,7,0,40,159,73,42,35,65,45,0,105,0,0,0,15,58,19,0,32
44,007,015500,1,PAWTUCKET,440070155001,1296,603,28,0,8,71,7,0,0,19,49,0,43,126,8,49,61,64,23,0,9,0,38,0,0,693,8,111,8,35,0,0,0,54,38,87,50,29,40,44,46,51,27,0,15,31,10,0,9
44,007,002700,1,PROVIDENCE,440070027001,1083,528,37,66,26,0,0,0,15,0,40,40,89,35,35,5,31,6,15,21,11,20,0,16,20,555,74,17,9,9,0,0,0,6,140,78,25,37,14,15,17,0,12,24,28,9,0,15,26
44,003,020102,1,WEST WARWICK,440030201021,1604,690,50,21,0,0,30,13,13,41,69,130,32,0,84,31,62,20,15,13,0,23,17,18,8,914,38,0,20,14,0,23,0,73,99,94,33,21,53,54,53,65,54,0,0,60,51,39,70
44,007,002300,3,PROVIDENCE,440070023003,579,260,24,0,0,24,0,0,0,11,0,18,41,19,23,31,0,0,0,0,0,0,28,0,41,319,23,0,19,0,34,0,0,11,0,38,22,0,42,24,0,26,0,9,0,0,13,58,0
44,007,015600,2,PAWTUCKET,440070156002,635,281,0,5,0,12,0,16,0,0,52,19,31,0,10,43,21,0,0,15,14,0,0,12,31,354,43,53,32,0,0,16,0,0,41,20,8,42,6,28,21,0,7,14,0,0,12,0,11
44,007,013201,4,SCITUATE,440070132014,1125,544,27,20,51,9,0,0,17,0,37,16,37,7,65,73,65,24,9,40,0,0,0,21,26,581,12,40,90,46,0,0,0,18,37,41,43,37,63,40,15,37,13,0,7,11,0,12,19
44,007,010200,6,EAST PROVIDENCE,440070102006,450,139,0,0,15,0,0,0,0,0,0,0,0,0,57,23,12,0,0,4,11,0,13,0,4,311,0,15,0,0,0,0,0,0,0,86,15,0,0,26,54,0,15,64,4,18,0,0,14
44,009,050700,2,HOPKINTON,440090507002,871,432,0,27,0,14,0,0,0,60,0,83,16,14,32,19,16,16,0,0,104,13,0,0,18,439,79,14,0,0,0,0,0,0,0,31,29,0,0,44,125,16,16,19,14,16,0,36,0
44,007,014000,2,CRANSTON,440070140002,1187,646,16,54,0,3,0,3,0,3,81,85,22,0,26,124,65,2,15,0,31,31,46,23,16,541,53,0,68,0,0,0,0,20,66,37,0,27,0,58,88,16,0,15,34,45,14,0,0
44,007,001300,2,PROVIDENCE,440070013002,1090,612,64,22,54,13,22,0,18,0,50,14,65,46,0,58,31,10,53,23,46,23,0,0,0,478,0,32,54,0,0,7,0,27,130,16,40,24,18,24,35,16,0,0,0,7,0,0,48
